tidal,greatlakes,shefcode,details,sensors,floodlevels,datums,supersededdatums,harmonicConstituents,benchmarks,tidePredOffsets,ofsMapOffsets,state,timezone,timezonecorr,observedst,stormsurge,nearby,forecast,outlook,HTFhistorical,nonNavigational,id,name,lat,lng,affiliations,portscode,products,disclaimers,notices,self,expand,tideType
True,False,NWWH1,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/ofsmapoffsets.json""
      }",HI,HAST,-10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/nearby.json""
      }",False,True,True,False,1611400,Nawiliwili,21.9544,-159.3561,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1611400.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,OOUH1,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/ofsmapoffsets.json""
      }",HI,HAST,-10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/nearby.json""
      }",False,True,True,False,1612340,Honolulu,21.303333,-157.864528,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612340.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,MOKH1,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/ofsmapoffsets.json""
      }",HI,HAST,-10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/nearby.json""
      }",False,True,True,False,1612480,Mokuoloe,21.433056,-157.790000,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1612480.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,KLIH1,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/ofsmapoffsets.json""
      }",HI,HAST,-10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/nearby.json""
      }",False,True,True,False,1615680,"Kahului, Kahului Harbor",20.894944,-156.469000,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1615680.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,KWHH1,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/ofsmapoffsets.json""
      }",HI,HAST,-10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/nearby.json""
      }",False,True,True,False,1617433,Kawaihae,20.03660,-155.82940,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617433.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,ILOH1,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/ofsmapoffsets.json""
      }",HI,HAST,-10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/nearby.json""
      }",False,True,True,False,1617760,"Hilo, Hilo Bay, Kuhio Bay",19.73028,-155.06,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1617760.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,SNDP5,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/ofsmapoffsets.json""
      }","United States of America",SST,-11,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/nearby.json""
      }",False,True,True,False,1619910,"Sand Island, Midway Islands",28.211667,-177.36,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1619910.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,APRP7,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/ofsmapoffsets.json""
      }","United States of America",ChST,10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/nearby.json""
      }",False,True,True,False,1630000,"Apra Harbor, Guam",13.44339,144.656361,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1630000.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,PGBP7,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/ofsmapoffsets.json""
      }","United States of America",ChST,10,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/nearby.json""
      }",False,False,False,False,1631428,"Pago Bay, Guam",13.428333,144.796944,"Global,USACE","","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1631428.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,NSTP6,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/ofsmapoffsets.json""
      }","American Samoa",SST,-11,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/nearby.json""
      }",False,True,True,False,1770000,"Pago Pago, American Samoa",-14.276667,-170.689444,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1770000.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,KWJP8,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/ofsmapoffsets.json""
      }","United States of America",NZST,12,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/nearby.json""
      }",False,True,True,False,1820000,"Kwajalein, Marshall Islands",8.7317,167.736115,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1820000.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,WAKP8,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/ofsmapoffsets.json""
      }","United States of America",NZST,12,False,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/nearby.json""
      }",False,True,True,False,1890000,"Wake Island, Pacific Ocean",19.290556,166.6175,NWLON,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/1890000.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,FRCB6,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/ofsmapoffsets.json""
      }","",AST,-4,True,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/nearby.json""
      }",False,False,False,False,2695535,"Bermuda Biological Station",32.369999,-64.695000,"","","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
True,False,BEPB6,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/details.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/sensors.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/floodlevels.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/datums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/supersededdatums.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/harcon.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/benchmarks.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/tidepredoffsets.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/ofsmapoffsets.json""
      }",Bermuda,AST,-4,True,False,"{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/nearby.json""
      }",False,False,False,False,2695540,"Bermuda, St. Georges Island",32.373306,-64.703306,Global,"","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/products.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/disclaimers.json""
      }","{
        ""self"": ""https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/notices.json""
      }",https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,ofsmapoffsets,products,disclaimers,notices",Mixed
